Company_ID,Company_Name,Year_Founded,Employees,Annual_Revenue,Adoption_Rate_AI,Adoption_Rate_Cloud,Adoption_Rate_Blockchain,Adoption_Rate_IoT,Market_Share,Customer_Satisfaction_Score,Tech_Sector,Region,Research_Development_Budget,CEO_Tenure_Years
940919,"Donaldson, Rhodes and Reynolds",2002,4019,808165913.18,58.46,1.35,15.74,38.76,39.93,7.01,Software,Europe,39590594.08,10
414429,Kemp-Chang,2002,2280,398563440.34,4.84,44.41,25.7,96.34,18.81,3.82,Services,North America,3966805.76,7
633412,"Jones, Gonzalez and Davis",2010,477,752703024.44,18.52,95.14,88.82,90.42,42.63,8.08,Networking,Asia,4246836.43,20
799828,Anderson LLC,2006,3155,984460058.5,82.96,59.71,57.05,47.47,31.02,6.98,Software,Africa,41946001.62,19
627528,Maynard LLC,1980,399,334882009.17,99.6,13.15,95.24,41.76,17.79,8.21,Software,Africa,46972646.67,17
104689,Aguilar Group,2007,430,807828062.29,77.08,34.69,24.81,41.37,23.68,7.62,Software,North America,49862531.73,13
803507,Patterson-Brown,2015,1690,392371210.0,97.03,47.29,29.28,95.61,19.97,7.32,Software,South America,5112324.89,6
104349,Perez PLC,2016,4275,54968201.14,61.16,89.93,10.26,82.07,47.46,8.6,Consulting,Asia,3268157.58,9
727296,"Schwartz, Jones and Cantrell",1996,2698,961360548.31,5.06,62.87,22.08,67.83,49.07,8.48,Services,North America,46838155.02,3
854396,Solomon-Davis,2016,1659,862165442.39,15.63,16.1,72.31,5.94,9.68,2.53,Hardware,Africa,42247331.76,3
104767,Jacobs Ltd,2010,230,407129361.62,62.68,68.7,95.04,63.23,41.02,4.96,Consulting,North America,4922628.2,24
557310,Williamson PLC,2000,3293,910777427.53,72.59,75.84,83.45,45.37,40.58,3.0,Networking,North America,2106502.6,18
582841,Velasquez Group,2005,1093,771223572.41,71.84,17.61,68.87,75.63,18.76,2.45,Hardware,Asia,18471842.47,16
239567,Cummings-Bauer,1981,1890,796544549.85,73.74,10.8,46.2,3.91,24.79,9.06,Consulting,North America,21259779.61,25
115006,"Whitehead, Rodriguez and Sharp",2016,364,972363612.58,57.51,13.16,46.44,96.83,11.13,6.02,Software,Africa,22303085.3,21
303491,"Moore, Wells and Baxter",1992,133,123850101.1,6.28,74.68,50.11,63.93,41.13,2.3,Consulting,Europe,30568497.72,16
204287,"Walker, Olson and Giles",2011,4195,781524060.91,35.79,93.72,79.84,16.49,20.89,3.76,Networking,Asia,42427706.96,16
783881,Rodriguez and Sons,2009,1985,611283545.48,44.29,4.37,31.81,26.6,38.72,1.63,Hardware,North America,12870004.88,7
660499,"Bruce, Goodman and Logan",2007,86,191443217.53,69.96,60.04,94.24,10.42,29.69,6.96,Networking,Africa,18135099.91,21
314541,Yu-Allen,2011,2803,429290899.55,0.18,62.52,37.17,72.82,38.82,2.09,Consulting,South America,12004618.68,2
869109,Kelley-Nielsen,1986,3379,80440430.94,35.51,51.43,89.02,0.21,0.09,5.79,Services,North America,33502795.06,9
377245,Landry PLC,2001,1862,568714880.27,42.39,59.48,43.58,97.63,0.68,4.98,Networking,Asia,37257190.87,10
386649,"Weber, Mays and Sellers",2005,2458,698153082.02,98.39,9.51,90.95,57.79,38.77,7.3,Services,North America,47092632.42,3
135456,Carlson-Hendricks,1995,4355,308771615.95,58.5,77.03,61.57,85.66,25.47,3.45,Networking,Africa,16377984.3,8
610848,Marks Group,1998,3648,824025688.11,33.78,79.93,47.39,42.44,12.21,6.22,Networking,South America,38521622.14,19
562010,Jackson-Spence,1993,608,950332505.59,90.69,91.2,24.52,71.9,38.36,4.14,Networking,South America,46065299.92,26
469087,"Walker, Ortiz and Graves",2004,1045,917573652.59,27.71,68.54,68.94,49.97,37.24,9.12,Services,Asia,29966046.45,8
540349,Vasquez-Rios,1999,4954,973028096.33,81.07,17.57,34.74,1.85,40.04,5.52,Software,North America,28042652.16,3
650146,Santos-Torres,1980,2590,475035124.42,94.7,22.78,45.22,20.42,49.89,8.07,Services,Asia,10878866.32,6
178485,"Waters, Griffin and Alvarado",2000,186,945106701.91,8.16,32.34,81.0,68.71,31.73,4.36,Consulting,South America,15630758.05,17
261727,Heath-Castillo,2005,226,531576271.89,24.95,87.81,38.99,29.38,23.92,9.12,Consulting,Africa,46465514.65,3
985870,Reynolds Inc,1982,579,505199872.78,50.14,59.54,15.99,92.13,22.58,7.8,Software,Asia,20862249.45,25
423354,"Taylor, Rojas and Roberson",1984,539,760289498.75,97.9,77.16,59.62,87.24,10.32,5.17,Networking,South America,47385665.75,7
583000,Stevenson Inc,1994,2286,211417857.59,92.89,24.94,98.22,55.34,17.23,5.67,Networking,Africa,29547133.81,12
695053,"Gonzalez, Curtis and Lynch",2016,3541,56250311.13,62.5,11.85,31.55,43.88,15.17,2.06,Consulting,Asia,28300194.44,24
781939,Horn and Sons,2004,4896,909997131.41,46.05,34.51,69.24,62.63,48.73,8.62,Software,South America,32373027.65,28
413980,"Hooper, Davidson and Kelley",2009,2176,874738843.42,26.47,40.0,93.76,58.42,16.44,7.1,Consulting,Africa,34399708.42,21
372327,Roberts-Edwards,2016,1304,517583480.99,57.95,31.01,9.3,23.75,47.26,2.48,Services,North America,14422007.71,25
476408,Patterson-Walker,2003,4349,190078457.97,12.5,4.95,52.0,5.28,9.45,4.4,Hardware,North America,13998127.94,17
618109,Stuart-Carr,2008,91,461586833.31,93.36,85.99,9.56,26.56,33.75,2.24,Software,Europe,7830891.35,1
759079,May LLC,1998,2192,252846629.71,62.6,29.05,23.61,42.25,43.63,4.65,Consulting,Europe,24630165.77,22
485240,Martin-Rojas,1995,95,757486569.95,52.96,90.38,8.08,50.25,43.85,7.42,Hardware,North America,29672379.96,4
161671,Wang Inc,2006,2553,518687130.27,14.19,65.82,72.28,55.9,6.12,1.1,Networking,North America,41360992.23,24
762952,Edwards Group,1996,4322,470585175.87,47.23,92.4,47.74,41.15,47.15,7.47,Networking,North America,41101766.27,17
671739,"Lindsey, Noble and Fleming",1981,2204,335235848.74,63.52,38.41,67.51,83.27,44.21,5.74,Hardware,South America,40116353.26,2
334862,Hall Inc,1982,4374,186308746.01,25.31,96.08,4.98,44.61,31.85,4.54,Networking,South America,8130346.33,18
282026,Wilson-Carpenter,1998,2832,262516236.5,15.8,99.53,90.79,35.82,24.77,3.7,Networking,North America,44115237.48,18
497527,Robinson Ltd,1994,2409,7889961.08,4.9,83.65,10.48,98.38,0.65,9.47,Consulting,Asia,28169571.29,25
390616,"Clark, Stevens and Moore",2010,4644,407751354.75,81.56,96.66,46.51,79.33,15.01,5.04,Consulting,South America,15929200.78,6
953218,Bryant-Cruz,2000,1398,203252003.45,91.23,95.04,53.19,28.2,21.29,1.94,Software,Europe,45633715.1,28
952328,"Thomas, Schmidt and Estrada",2007,4677,210919181.77,12.78,55.65,21.55,18.09,33.66,8.16,Consulting,Europe,30061169.65,20
239233,Goodman-Fry,2000,541,879555520.43,16.83,99.76,54.92,24.9,12.65,6.28,Services,Europe,27456327.48,17
277146,Herman-Wilson,2018,840,491329542.24,44.46,10.83,15.43,36.68,36.37,7.31,Consulting,Asia,41658856.6,22
933718,Singh-Sanchez,2019,1001,19116558.97,33.23,88.97,95.57,59.97,44.58,7.19,Services,North America,5221502.59,21
341391,Washington-Burns,2009,2884,615572172.82,13.59,11.23,4.27,29.33,41.71,7.31,Services,North America,15211031.89,8
102061,Shah-Jordan,1988,2122,180820056.24,97.03,81.52,70.08,44.82,25.73,4.35,Software,Europe,44466464.18,1
870909,Pratt LLC,1980,2980,74208924.79,28.89,91.24,56.63,90.29,41.28,8.92,Consulting,Asia,23336868.95,7
328714,"Morgan, Gonzales and Snyder",1986,4857,652844245.03,42.72,87.51,2.27,69.48,10.83,2.41,Software,Africa,31933182.47,11
702759,Davis-Lewis,2012,3269,253579927.83,44.65,53.85,16.66,7.97,11.14,3.78,Networking,Africa,21014858.35,7
643363,Thompson-Wilkins,1996,4594,760574929.46,24.56,60.38,56.64,60.5,34.04,9.59,Software,Europe,34531469.85,2
972290,Matthews-Stout,2006,4837,246523700.42,22.91,51.22,62.11,86.73,2.39,9.07,Networking,Europe,8271147.31,26
157347,"Ortiz, Harris and Ellis",2016,3503,878113924.88,43.89,88.31,6.61,91.39,1.23,2.34,Hardware,Africa,25873751.34,7
701002,"Rodriguez, Thompson and Fernandez",1980,2729,563259909.98,65.41,36.74,48.2,44.5,23.59,6.97,Services,North America,9967263.55,16
847272,Sanchez and Sons,1986,604,695531391.23,42.71,89.62,79.47,3.94,12.53,5.97,Software,Europe,49446773.86,8
268529,Bonilla Inc,2014,1700,699120125.75,9.49,47.36,66.67,69.33,14.95,3.44,Services,Africa,28262666.57,6
123741,Kelley Group,2019,1440,822387375.45,66.87,9.68,74.34,5.72,6.14,4.45,Networking,North America,32753237.7,2
266405,Jones and Sons,2004,916,621049305.01,15.99,2.7,14.73,78.54,34.16,9.7,Hardware,North America,15894010.55,24
942678,Peters-Butler,2014,917,818383370.87,62.34,93.56,20.32,77.44,31.28,9.91,Hardware,Africa,49544790.33,24
388730,Levy and Sons,1980,1177,64215570.3,76.2,9.8,23.17,73.9,30.2,2.79,Consulting,Asia,39414043.85,2
714638,"Richardson, Lin and Mccormick",1998,1287,857540224.22,24.34,78.75,1.68,40.32,8.84,5.07,Hardware,North America,39776506.27,14
757479,Heath Ltd,1990,3635,902123462.21,21.63,86.96,72.04,77.42,15.53,1.12,Services,Europe,5663096.29,22
634701,"Harris, Keller and Ramos",2009,814,243334935.21,93.75,85.91,18.81,51.35,36.03,1.84,Services,North America,42779853.06,1
401482,Thompson-Pennington,2012,530,622573221.28,59.01,79.18,59.34,42.02,11.17,1.01,Networking,Europe,24072356.45,6
793265,Davis-Mathis,2012,386,12504530.25,57.45,51.4,71.95,96.84,46.31,2.54,Networking,Africa,40714220.24,4
187255,Carlson Inc,2008,366,95189312.39,0.6,45.85,49.67,0.07,46.3,4.37,Services,Europe,7569770.82,3
840454,"Riddle, Robinson and Black",2008,429,886274533.84,99.5,20.79,23.53,30.86,49.82,6.45,Services,North America,6477199.59,22
716351,Davis Inc,1986,4506,339342406.04,99.23,71.51,59.0,40.06,38.23,8.35,Consulting,South America,34782571.2,9
135085,"Lane, Jacobs and Taylor",1998,1257,219499993.52,94.87,98.6,89.1,67.0,48.47,6.6,Services,Europe,43382020.55,15
641720,Rivera-Martin,2002,2819,684227416.13,5.18,8.19,88.12,56.49,31.2,7.75,Services,Africa,23716602.93,1
879948,Forbes Group,1996,694,630559239.67,76.96,85.58,53.43,65.6,4.69,5.92,Consulting,Africa,45351727.42,27
502860,Montes Inc,1992,1736,876617068.02,69.43,34.78,53.01,30.08,43.81,5.04,Consulting,Asia,34328236.02,24
808246,Washington-Cross,2002,2577,913754209.43,64.33,46.07,33.9,29.13,25.41,5.45,Networking,Africa,38558801.6,11
557713,"Ross, Moody and Sharp",1989,2533,859767749.07,76.36,68.24,71.0,54.85,7.68,5.0,Software,South America,12406239.13,11
767930,White Inc,1987,2063,446300717.94,3.54,65.15,79.73,81.72,49.65,5.62,Networking,Asia,42610003.89,25
815791,Rowe-Rodriguez,2010,203,790999060.46,70.1,44.81,66.06,36.67,18.8,1.98,Software,Europe,46178373.16,19
798925,"Hicks, Norton and Cain",2017,4934,575295971.7,89.2,97.81,10.99,54.68,47.01,1.3,Consulting,South America,8153500.09,27
620301,Jones PLC,2004,2956,225662936.4,15.92,62.75,14.83,97.44,8.5,4.97,Hardware,Asia,40230456.59,29
468138,Allison and Sons,2000,3116,894651914.59,75.13,18.28,47.48,14.6,32.11,6.93,Services,South America,21003786.11,2
933705,"Perry, Garcia and Gill",2017,3328,297791454.47,66.6,32.95,95.72,60.99,44.01,5.33,Services,Europe,40854511.8,11
527714,Contreras-Sanchez,2010,2617,756097566.06,77.86,66.53,98.97,20.36,41.59,2.3,Hardware,Asia,16296804.39,5
159236,Cooper-Doyle,1986,1034,837852588.92,3.04,93.2,88.94,39.8,1.14,3.16,Services,South America,11320492.52,11
299769,"Buchanan, Williams and Montgomery",1998,4060,759442441.7,39.47,33.78,74.78,19.46,3.52,3.59,Hardware,South America,4639027.12,11
772236,Clark-Wood,2017,1576,489291832.22,33.8,21.26,16.96,42.24,31.84,6.82,Hardware,South America,10537551.9,9
841582,Garrison-Robinson,1981,3001,225624048.89,43.24,79.93,45.82,61.51,23.02,9.55,Networking,Africa,22823848.72,11
341081,Lindsey PLC,2008,847,40814831.83,26.72,44.01,91.8,28.85,30.85,5.22,Consulting,North America,25533166.48,26
371506,Ruiz PLC,2001,2351,701550297.21,87.09,15.54,91.91,21.6,35.11,7.62,Services,Asia,2865237.43,22
159834,Patel Inc,2018,2183,150638308.98,45.49,36.03,0.35,70.06,5.02,8.83,Software,North America,5740980.01,3
549821,Tucker-Miller,1986,3275,611337753.91,99.94,41.55,60.87,57.3,11.69,6.13,Networking,North America,33540846.8,19
898809,Patton-Barnett,2006,4944,799379362.58,32.56,26.54,84.56,10.97,33.2,8.0,Software,Africa,18648186.45,2
364863,Esparza-Martin,2016,845,729075794.8,33.8,67.54,64.84,29.29,19.5,2.18,Services,South America,23778993.01,3
237471,Alexander and Sons,2008,2160,386873088.81,23.39,10.92,40.64,26.94,9.73,4.83,Services,Asia,28524007.35,16
696487,"Adams, Scott and Torres",2002,4782,425947080.71,56.54,83.85,4.95,59.95,44.48,8.36,Hardware,Europe,26722076.33,13
457909,Caldwell LLC,1993,3745,610519467.46,55.53,36.28,46.87,36.15,3.43,4.12,Consulting,Asia,7884884.51,23
398513,"Johnson, Malone and Patterson",2007,2382,173290573.88,38.12,29.71,99.21,14.66,13.84,3.65,Software,Europe,33944069.61,14
296506,"Barrett, Carlson and Nelson",2017,2035,799343893.16,38.74,65.52,28.33,72.67,43.04,3.72,Services,South America,28153912.27,12
360469,"Silva, Cardenas and Porter",1998,3194,212222501.19,19.99,44.02,16.35,36.46,16.23,5.6,Consulting,South America,15373875.26,13
975112,Mullins-Bailey,1982,3166,186903768.93,31.08,90.34,31.56,33.33,24.34,4.89,Networking,Europe,41945984.69,4
856039,Ashley and Sons,2013,2940,381453063.76,69.79,43.3,43.61,79.38,32.01,4.02,Networking,North America,2804727.44,27
524322,Watkins-Moreno,1989,1502,320170598.9,13.83,19.63,88.83,97.71,24.54,7.39,Networking,Europe,35445848.17,19
974408,Roberts-Walker,1995,2618,556181338.14,15.15,67.22,73.11,24.94,28.75,8.44,Software,Europe,24932383.5,11
577828,Garner Group,2002,2894,730210275.54,56.27,58.48,91.97,21.62,39.78,2.71,Consulting,North America,40179322.54,5
