Order_ID,Product_ID,Customer_ID,Purchase_Date,Quantity,Unit_Price,Order_Value,Discount,Store_Location,Return_Status,Revenue,Payment_Type_Bank Transfer,Payment_Type_Cash,Payment_Type_Credit Card,Payment_Type_Debit Card,Payment_Type_PayPal,Final_Price,Unit_Price_Zscore,Order_Value_Category,Profit,Purchase_Year,High_Value_Order
397319,5696,88608,2021-03-09,4,0.23672673236158,-1.3059778264339506,0.993981671333003,Chicago,Processed,1188.36,0,0,0,1,0,-0.8668378625964557,0.23672673236158,Low,1187.366018328667,2021,False
554511,5334,52689,2022-05-03,7,-1.6124377262811833,-1.6260828765803963,1.2318066416211262,Phoenix,Not Returned,211.89,0,0,0,1,0,-1.1984868178608636,-1.6124377262811833,Low,210.65819335837887,2022,False
962577,7150,82124,2022-10-17,1,-0.9176669558031942,0.3189507881494439,-0.7256758061349617,New York,Not Returned,130.52,0,0,1,0,0,1.3290922567822174,-0.9176669558031942,Low,131.24567580613498,2022,False
252543,5773,93747,2021-01-16,9,-1.4448610955564176,-0.6411179328092079,-0.005425255091444628,New York,Processed,490.05,1,0,0,0,0,0.32744198021042253,-1.4448610955564176,Low,490.05542525509145,2021,False
386206,9379,84871,2021-11-21,9,-0.9179441710732105,1.1359671955704613,0.13618562465276546,Chicago,Not Returned,1174.32,0,1,0,0,0,0.7067013844882664,-0.9179441710732105,Low,1174.183814375347,2021,False
322636,1464,97406,2023-08-25,7,0.8758465373838261,0.22161114327887413,-1.6790083793411976,Houston,Processed,2725.17,0,0,0,0,1,2.2538942167608425,0.8758465373838261,Low,2726.8490083793413,2023,False
395906,3643,29876,2022-12-19,9,1.1901393497646422,0.1937919930148801,-1.495388530486265,New York,Processed,3911.94,0,0,0,1,0,2.0621204711297487,1.1901393497646422,Low,3913.4353885304863,2022,False
190552,2362,47363,2022-01-28,2,-1.3075702330809167,1.5116352483480193,-0.8937116825778518,Los Angeles,Processed,148.52,0,1,0,0,0,1.84670840015287,-1.3075702330809167,Low,149.41371168257785,2022,False
974804,6603,91829,2022-11-08,7,0.3363163181148838,0.7286534903149398,-0.04878935223799673,Los Angeles,Processed,2180.22,0,0,1,0,0,0.7722911940877114,0.3363163181148838,Low,2180.268789352238,2022,False
188936,3705,31025,2021-08-27,9,0.32294068133660425,-1.5803838984400358,0.6884002992533924,Chicago,Processed,2785.7699999999995,0,1,0,0,0,-0.6416859344307155,0.32294068133660425,Low,2785.081599700746,2021,False
